seed,scenario,population,name,budget,alarms,n_episodes,detected,median_lead_d,worst_lead_d,mean_lead_d,precision,median_capture,worst_capture,false_alerts_per_asset_month,evaluation,missed,expected_asset_days,score_fraction,threshold
20260911,sensor_offset,affected_assets,directional,72,3,1,1,4.846177077905092,4.846177077905092,4.846177077905092,0.6666666666666666,0.1539077873370165,0.1539077873370165,0.1388888888888889,chronological_replay,0,216,0.9444444444444444,31.442679822908815
20260911,sensor_offset,affected_assets,mahalanobis,72,7,1,1,4.846177077905092,4.846177077905092,4.846177077905092,0.2857142857142857,0.1539077873370165,0.1539077873370165,0.6944444444444444,chronological_replay,0,216,0.9444444444444444,1116.6720062715287
20260911,sensor_offset,affected_assets,isolation_forest,72,3,1,1,4.846177077905092,4.846177077905092,4.846177077905092,0.6666666666666666,0.1539077873370165,0.1539077873370165,0.1388888888888889,chronological_replay,0,216,0.9444444444444444,0.7893075702568996
20260911,unsupported_context,whole_fleet,raw,72,5,4,3,1.9535396923148147,0.0,1.38339410402392,0.6,0.03867309453955883,0.0,0.06944444444444445,chronological_replay,1,864,0.7222222222222222,4.894857808907832
20260911,unsupported_context,whole_fleet,directional,72,6,4,3,1.9535396923148147,0.0,2.716727437357253,0.8333333333333334,0.03758220985191157,0.0,0.034722222222222224,chronological_replay,1,864,0.7222222222222222,31.442679822908815
20260911,unsupported_context,whole_fleet,mahalanobis,72,8,4,3,1.9535396923148147,0.0,3.716727437357253,0.625,0.06369569989010898,0.0,0.10416666666666666,chronological_replay,1,864,0.7222222222222222,1116.6720062715287
20260911,unsupported_context,whole_fleet,isolation_forest,72,4,4,2,3.0525209043113426,0.0,3.0525209043113426,0.75,0.03640343376477496,0.0,0.034722222222222224,chronological_replay,2,864,0.7222222222222222,0.7893075702568996
20260911,unsupported_context,affected_assets,raw,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,4.894857808907832
20260911,unsupported_context,affected_assets,directional,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,31.442679822908815
20260911,unsupported_context,affected_assets,mahalanobis,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,1116.6720062715287
20260911,unsupported_context,affected_assets,isolation_forest,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,0.7893075702568996
20260911,missing_days,whole_fleet,raw,72,5,4,3,1.9535396923148147,0.0,1.38339410402392,0.6,0.03867309453955883,0.0,0.06944444444444445,chronological_replay,1,864,0.7222222222222222,4.894857808907832
20260911,missing_days,whole_fleet,directional,72,6,4,3,1.9535396923148147,0.0,2.716727437357253,0.8333333333333334,0.03758220985191157,0.0,0.034722222222222224,chronological_replay,1,864,0.7222222222222222,31.442679822908815
20260911,missing_days,whole_fleet,mahalanobis,72,8,4,3,1.9535396923148147,0.0,3.716727437357253,0.625,0.06369569989010898,0.0,0.10416666666666666,chronological_replay,1,864,0.7222222222222222,1116.6720062715287
20260911,missing_days,whole_fleet,isolation_forest,72,4,4,2,3.0525209043113426,0.0,3.0525209043113426,0.75,0.03640343376477496,0.0,0.034722222222222224,chronological_replay,2,864,0.7222222222222222,0.7893075702568996
20260911,missing_days,affected_assets,raw,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,4.894857808907832
20260911,missing_days,affected_assets,directional,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,31.442679822908815
20260911,missing_days,affected_assets,mahalanobis,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,1116.6720062715287
20260911,missing_days,affected_assets,isolation_forest,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,0.7893075702568996
20260912,clean,whole_fleet,raw,72,6,3,2,4.608581041053241,0.0,4.608581041053241,0.8333333333333334,0.09904480080950759,0.0,0.034722222222222224,chronological_replay,1,864,0.9861111111111112,4.882424097842373
20260912,clean,whole_fleet,directional,72,5,3,2,2.7186234368518516,0.0,2.7186234368518516,0.6,0.06492986454274514,0.0,0.06944444444444445,chronological_replay,1,864,0.9861111111111112,34.70420721358954
